Date,UAI,NDVI
2020-01-01,MCDA UAI 1,0.4380990785359376
2020-01-01,MCDA UAI 2,0.5864310486913517
2020-01-01,MCDA UAI 3,0.663568753365356
2020-01-01,MCDA UAI 4,0.5555441004471962
2020-01-01,MCDA UAI 5,
2020-02-01,MCDA UAI 1,0.5383188833204826
2020-02-01,MCDA UAI 2,0.5503128838405837
2020-02-01,MCDA UAI 3,0.602788997769515
2020-02-01,MCDA UAI 4,0.7077661764705881
2020-02-01,MCDA UAI 5,
2020-03-01,MCDA UAI 1,0.5523498838130728
2020-03-01,MCDA UAI 2,0.5741805874348879
2020-03-01,MCDA UAI 3,0.6774039101398113
2020-03-01,MCDA UAI 4,0.7300604016167868
2020-03-01,MCDA UAI 5,
2020-04-01,MCDA UAI 1,0.5316560095947909
2020-04-01,MCDA UAI 2,0.560594846308553
2020-04-01,MCDA UAI 3,0.6612520645112827
2020-04-01,MCDA UAI 4,0.716741726866185
2020-04-01,MCDA UAI 5,
2020-05-01,MCDA UAI 1,0.4906823952711385
2020-05-01,MCDA UAI 2,0.5328736683644173
2020-05-01,MCDA UAI 3,0.6160312579725632
2020-05-01,MCDA UAI 4,0.6709010792913657
2020-05-01,MCDA UAI 5,
2020-06-01,MCDA UAI 1,0.4136573749250406
2020-06-01,MCDA UAI 2,0.4788965248925871
2020-06-01,MCDA UAI 3,0.5706782328953119
2020-06-01,MCDA UAI 4,0.6244844986240111
2020-06-01,MCDA UAI 5,
2020-07-01,MCDA UAI 1,0.36916668326479923
2020-07-01,MCDA UAI 2,0.4241478493254388
2020-07-01,MCDA UAI 3,0.5247412677016857
2020-07-01,MCDA UAI 4,0.5851505761953906
2020-07-01,MCDA UAI 5,
2020-08-01,MCDA UAI 1,0.35458477308746683
2020-08-01,MCDA UAI 2,0.3982474631569787
2020-08-01,MCDA UAI 3,0.4605979646172348
2020-08-01,MCDA UAI 4,0.5576301427588578
2020-08-01,MCDA UAI 5,
2020-09-01,MCDA UAI 1,0.3241274988220683
2020-09-01,MCDA UAI 2,0.3969979511368045
2020-09-01,MCDA UAI 3,0.47319078742919385
2020-09-01,MCDA UAI 4,0.5575363175094599
2020-09-01,MCDA UAI 5,
2020-10-01,MCDA UAI 1,0.336598482074017
2020-10-01,MCDA UAI 2,0.4088228680267256
2020-10-01,MCDA UAI 3,0.5520696813411621
2020-10-01,MCDA UAI 4,0.6195443326453389
2020-10-01,MCDA UAI 5,
2020-11-01,MCDA UAI 1,0.38051026621262785
2020-11-01,MCDA UAI 2,0.4622869420723506
2020-11-01,MCDA UAI 3,0.6041432269475339
2020-11-01,MCDA UAI 4,0.6460869281045751
2020-11-01,MCDA UAI 5,
2020-12-01,MCDA UAI 1,0.5023713055769726
2020-12-01,MCDA UAI 2,0.5435667098398548
2020-12-01,MCDA UAI 3,0.6255156448831193
2020-12-01,MCDA UAI 4,0.6263833204334366
2020-12-01,MCDA UAI 5,
2021-01-01,MCDA UAI 1,0.46055992728947154
2021-01-01,MCDA UAI 2,0.5648476267200349
2021-01-01,MCDA UAI 3,0.6059114710137085
2021-01-01,MCDA UAI 4,0.5882643446852425
2021-01-01,MCDA UAI 5,
2021-02-01,MCDA UAI 1,0.5213522161183928
2021-02-01,MCDA UAI 2,0.5183366777131911
2021-02-01,MCDA UAI 3,0.5721641808198499
2021-02-01,MCDA UAI 4,0.5788104489164086
2021-02-01,MCDA UAI 5,
2021-03-01,MCDA UAI 1,0.5347679988006511
2021-03-01,MCDA UAI 2,0.5771501148068338
2021-03-01,MCDA UAI 3,0.6817594337981607
2021-03-01,MCDA UAI 4,0.7271680942552461
2021-03-01,MCDA UAI 5,
2021-04-01,MCDA UAI 1,0.5429391753405293
2021-04-01,MCDA UAI 2,0.5724617987256159
2021-04-01,MCDA UAI 3,0.6650022459089292
2021-04-01,MCDA UAI 4,0.7143873624011006
2021-04-01,MCDA UAI 5,
2021-05-01,MCDA UAI 1,0.5036537833033496
2021-05-01,MCDA UAI 2,0.5411552493212909
2021-05-01,MCDA UAI 3,0.6205013674453844
2021-05-01,MCDA UAI 4,0.6703593352253182
2021-05-01,MCDA UAI 5,
2021-06-01,MCDA UAI 1,0.4052473828493103
2021-06-01,MCDA UAI 2,0.48217915580858633
2021-06-01,MCDA UAI 3,0.5731506445922947
2021-06-01,MCDA UAI 4,0.6193108531131751
2021-06-01,MCDA UAI 5,
2021-07-01,MCDA UAI 1,0.3468991481410093
2021-07-01,MCDA UAI 2,0.41538958547241495
2021-07-01,MCDA UAI 3,0.5228366280071987
2021-07-01,MCDA UAI 4,0.5898423159614722
