Date,UAI,NDVI
2020-01-01,UAI 1,0.47105
2020-01-01,UAI 2,0.5927125555214
2020-01-01,UAI 3,0.6546218555300359
2020-01-01,UAI 4,0.6379533521529316
2020-01-01,UAI 5,0.71935
2020-02-01,UAI 1,0.44120000000000004
2020-02-01,UAI 2,0.5937912207530555
2020-02-01,UAI 3,0.5597567832759985
2020-02-01,UAI 4,0.32479347584688223
2020-02-01,UAI 5,0.11435000000000001
2020-03-01,UAI 1,0.5034
2020-03-01,UAI 2,0.6469337533859326
2020-03-01,UAI 3,0.606701634778978
2020-03-01,UAI 4,0.2242668274469284
2020-03-01,UAI 5,0.0741
2020-04-01,UAI 1,0.49670000000000003
2020-04-01,UAI 2,0.6226005774145543
2020-04-01,UAI 3,0.6011407474006604
2020-04-01,UAI 4,0.20805979047664797
2020-04-01,UAI 5,0.0008500000000000001
2020-05-01,UAI 1,0.47215
2020-05-01,UAI 2,0.5759649214328322
2020-05-01,UAI 3,0.573593764649175
2020-05-01,UAI 4,0.25982985653042323
2020-05-01,UAI 5,-0.045750000000000006
2020-06-01,UAI 1,0.40675
2020-06-01,UAI 2,0.509234576504421
2020-06-01,UAI 3,0.5395228667512614
2020-06-01,UAI 4,0.3551473392142292
2020-06-01,UAI 5,0.1012
2020-07-01,UAI 1,0.34340000000000004
2020-07-01,UAI 2,0.44517366602847963
2020-07-01,UAI 3,0.5026186868878737
2020-07-01,UAI 4,0.4360002482778079
2020-07-01,UAI 5,0.402525
2020-08-01,UAI 1,0.3155
2020-08-01,UAI 2,0.41071777742312476
2020-08-01,UAI 3,0.44706602905069986
2020-08-01,UAI 4,0.4721688068687624
2020-08-01,UAI 5,0.5081
2020-09-01,UAI 1,0.30625
2020-09-01,UAI 2,0.418036306342141
2020-09-01,UAI 3,0.45094465338025197
2020-09-01,UAI 4,0.47025723797029506
2020-09-01,UAI 5,0.48725
2020-10-01,UAI 1,0.28385000000000005
2020-10-01,UAI 2,0.44722358930185313
2020-10-01,UAI 3,0.5124190456016867
2020-10-01,UAI 4,0.4939627393056275
2020-10-01,UAI 5,0.476275
2020-11-01,UAI 1,0.3304
2020-11-01,UAI 2,0.5018071748618969
2020-11-01,UAI 3,0.5633593144595965
2020-11-01,UAI 4,0.5279024818441646
2020-11-01,UAI 5,0.49624999999999997
2020-12-01,UAI 1,0.41045000000000004
2020-12-01,UAI 2,0.5740600077895249
2020-12-01,UAI 3,0.5936279935939044
2020-12-01,UAI 4,0.5872156126130338
2020-12-01,UAI 5,0.6498
2021-01-01,UAI 1,0.48695000000000005
2021-01-01,UAI 2,0.5837140762369653
2021-01-01,UAI 3,0.5846845559600918
2021-01-01,UAI 4,0.5294245923722067
2021-01-01,UAI 5,0.7700250000000001
2021-02-01,UAI 1,0.42405000000000004
2021-02-01,UAI 2,0.5591541483590728
2021-02-01,UAI 3,0.5321463889075233
2021-02-01,UAI 4,0.3153380738415406
2021-02-01,UAI 5,0.08595
2021-03-01,UAI 1,0.511
2021-03-01,UAI 2,0.6380975591320295
2021-03-01,UAI 3,0.6226372940677624
2021-03-01,UAI 4,0.30305380528880277
2021-03-01,UAI 5,-0.100375
2021-04-01,UAI 1,0.50355
2021-04-01,UAI 2,0.6266412404187631
2021-04-01,UAI 3,0.6128994409648143
2021-04-01,UAI 4,0.2733146433681245
2021-04-01,UAI 5,-0.070675
2021-05-01,UAI 1,0.4509
2021-05-01,UAI 2,0.5766112204586166
2021-05-01,UAI 3,0.5856795632125027
2021-05-01,UAI 4,0.3551443107382234
2021-05-01,UAI 5,0.063275
2021-06-01,UAI 1,0.39390000000000003
2021-06-01,UAI 2,0.5053999071249247
2021-06-01,UAI 3,0.5490712340411129
2021-06-01,UAI 4,0.43872193014103
2021-06-01,UAI 5,0.351675
2021-07-01,UAI 1,0.3285
2021-07-01,UAI 2,0.43529104946719677
2021-07-01,UAI 3,0.5016051147179822
2021-07-01,UAI 4,0.48236616033359897
2021-07-01,UAI 5,0.453125
2021-08-01,UAI 1,0.32165
2021-08-01,UAI 2,0.4116788614476567
2021-08-01,UAI 3,0.45089770952710856
2021-08-01,UAI 4,0.4765951714847962
2021-08-01,UAI 5,0.44205000000000005
2021-09-01,UAI 1,0.3406
2021-09-01,UAI 2,0.4206596359970586
2021-09-01,UAI 3,0.4555098109195142
2021-09-01,UAI 4,0.4639552530103549
2021-09-01,UAI 5,0.43472500000000003
2021-10-01,UAI 1,0.3408
2021-10-01,UAI 2,0.43400903873348456
2021-10-01,UAI 3,0.487305513534123
2021-10-01,UAI 4,0.4828630201939744
2021-10-01,UAI 5,0.4927
2021-11-01,UAI 1,0.33725000000000005
2021-11-01,UAI 2,0.47117765084080027
2021-11-01,UAI 3,0.5288986905084309
2021-11-01,UAI 4,0.5113847587030874
2021-11-01,UAI 5,0.41735
2021-12-01,UAI 1,0.42800000000000005
2021-12-01,UAI 2,0.5332919869996704
2021-12-01,UAI 3,0.5911787254933618
2021-12-01,UAI 4,0.5602051436068024
2021-12-01,UAI 5,0.4396
2022-01-01,UAI 1,0.54625
2022-01-01,UAI 2,0.514515701530784
2022-01-01,UAI 3,0.49655160084925964
2022-01-01,UAI 4,0.4676435058332939
2022-01-01,UAI 5,0.428225
2022-02-01,UAI 1,0.5203
2022-02-01,UAI 2,0.6446328609075821
2022-02-01,UAI 3,0.6512392715069824
2022-02-01,UAI 4,0.5565971690952536
2022-02-01,UAI 5,0.37475
2022-03-01,UAI 1,0.4968
2022-03-01,UAI 2,0.6237826075160888
2022-03-01,UAI 3,0.6338213663290634
2022-03-01,UAI 4,0.44071188562994945
2022-03-01,UAI 5,0.1849
2022-04-01,UAI 1,0.5451
2022-04-01,UAI 2,0.6630036792577291
2022-04-01,UAI 3,0.6813570071852327
2022-04-01,UAI 4,0.515533387527526
2022-04-01,UAI 5,0.34015
2022-05-01,UAI 1,0.4626
2022-05-01,UAI 2,0.5913991470077361
2022-05-01,UAI 3,0.6240569137832345
2022-05-01,UAI 4,0.5245923820456361
2022-05-01,UAI 5,0.466575
2022-06-01,UAI 1,0.40075000000000005
2022-06-01,UAI 2,0.5134035576201865
2022-06-01,UAI 3,0.5623970806845912
2022-06-01,UAI 4,0.5312112929297657
2022-06-01,UAI 5,0.5488250000000001
2022-07-01,UAI 1,0.33885
2022-07-01,UAI 2,0.4312044191879078
2022-07-01,UAI 3,0.4976463401714126
2022-07-01,UAI 4,0.5044898856768026
2022-07-01,UAI 5,0.54125
2022-08-01,UAI 1,0.331
2022-08-01,UAI 2,0.40027752047313336
2022-08-01,UAI 3,0.4414023805145964
2022-08-01,UAI 4,0.4544245206859388
2022-08-01,UAI 5,0.48950000000000005
2022-09-01,UAI 1,0.29775
2022-09-01,UAI 2,0.391504199072887
2022-09-01,UAI 3,0.4130682231931585
2022-09-01,UAI 4,0.4128010178981405
2022-09-01,UAI 5,0.41555000000000003
2022-10-01,UAI 1,0.2912
2022-10-01,UAI 2,0.3817802823223648
2022-10-01,UAI 3,0.42050501881350477
2022-10-01,UAI 4,0.4095464901841353
2022-10-01,UAI 5,0.3617
2022-11-01,UAI 1,0.32745
2022-11-01,UAI 2,0.46552457443187445
2022-11-01,UAI 3,0.5146888420991501
2022-11-01,UAI 4,0.48792681042964897
2022-11-01,UAI 5,0.340325
2022-12-01,UAI 1,0.375
2022-12-01,UAI 2,0.5288178066495899
2022-12-01,UAI 3,0.557688165118032
2022-12-01,UAI 4,0.5685088143653664
2022-12-01,UAI 5,0.5875
2023-01-01,UAI 1,0.5248
2023-01-01,UAI 2,0.6268655837484841
2023-01-01,UAI 3,0.5623622628817935
2023-01-01,UAI 4,0.5168802560558495
2023-01-01,UAI 5,0.5345500000000001
2023-02-01,UAI 1,0.5179
2023-02-01,UAI 2,0.6431150033035837
2023-02-01,UAI 3,0.6677197865408083
2023-02-01,UAI 4,0.5464885175467374
2023-02-01,UAI 5,0.32475
