Date,UAI,NDVI
2020-01-01,UAI 1,0.556075
2020-01-01,UAI 2,0.6935561388420887
2020-01-01,UAI 3,0.7096198100072202
2020-01-01,UAI 4,0.5625338270531857
2020-01-01,UAI 5,
2020-02-01,UAI 1,0.35197500000000004
2020-02-01,UAI 2,0.6748399879261973
2020-02-01,UAI 3,0.6221789499827208
2020-02-01,UAI 4,0.11788633245630518
2020-02-01,UAI 5,
2020-03-01,UAI 1,0.48695000000000005
2020-03-01,UAI 2,0.6633973476876344
2020-03-01,UAI 3,0.606031664631706
2020-03-01,UAI 4,0.022676448271001702
2020-03-01,UAI 5,
2020-04-01,UAI 1,0.50725
2020-04-01,UAI 2,0.6508106566653593
2020-04-01,UAI 3,0.6007908587841357
2020-04-01,UAI 4,-0.039210509067844374
2020-04-01,UAI 5,
2020-05-01,UAI 1,0.48733333333333334
2020-05-01,UAI 2,0.605172778978541
2020-05-01,UAI 3,0.574840846114335
2020-05-01,UAI 4,0.06874834304328763
2020-05-01,UAI 5,
2020-06-01,UAI 1,0.4783
2020-06-01,UAI 2,0.5474397292991534
2020-06-01,UAI 3,0.5585757640800121
2020-06-01,UAI 4,0.2622386229092275
2020-06-01,UAI 5,
2020-07-01,UAI 1,0.460625
2020-07-01,UAI 2,0.478641011438437
2020-07-01,UAI 3,0.5292843034187354
2020-07-01,UAI 4,0.41188752701559866
2020-07-01,UAI 5,
2020-08-01,UAI 1,0.48425
2020-08-01,UAI 2,0.44058581114760553
2020-08-01,UAI 3,0.4772655091576103
2020-08-01,UAI 4,0.478951696109754
2020-08-01,UAI 5,
2020-09-01,UAI 1,0.46875
2020-09-01,UAI 2,0.4439692185026978
2020-09-01,UAI 3,0.4705025771393896
2020-09-01,UAI 4,0.4893394580436009
2020-09-01,UAI 5,
2020-10-01,UAI 1,0.43735
2020-10-01,UAI 2,0.49581947474712895
2020-10-01,UAI 3,0.5527306168927079
2020-10-01,UAI 4,0.5075757998966359
2020-10-01,UAI 5,
2020-11-01,UAI 1,0.5086333333333334
2020-11-01,UAI 2,0.5660807315758721
2020-11-01,UAI 3,0.6334015360584516
2020-11-01,UAI 4,0.5588351970181045
2020-11-01,UAI 5,
2020-12-01,UAI 1,0.5178
2020-12-01,UAI 2,0.6850584694826881
2020-12-01,UAI 3,0.7258177795843112
2020-12-01,UAI 4,0.6319273362619807
2020-12-01,UAI 5,
2021-01-01,UAI 1,0.5265000000000001
2021-01-01,UAI 2,0.709143160130547
2021-01-01,UAI 3,0.6960411715703427
2021-01-01,UAI 4,0.5073254992012779
2021-01-01,UAI 5,
2021-02-01,UAI 1,0.563925
2021-02-01,UAI 2,0.6747005286849684
2021-02-01,UAI 3,0.6376874049765228
2021-02-01,UAI 4,0.2682510160214245
2021-02-01,UAI 5,
2021-03-01,UAI 1,0.5082
2021-03-01,UAI 2,0.6805780855036858
2021-03-01,UAI 3,0.636377408007579
2021-03-01,UAI 4,0.13381499013343356
2021-03-01,UAI 5,
2021-04-01,UAI 1,0.5790666666666667
2021-04-01,UAI 2,0.6672960595476921
2021-04-01,UAI 3,0.6281064868030738
2021-04-01,UAI 4,0.13850795276577085
2021-04-01,UAI 5,
2021-05-01,UAI 1,0.5622
2021-05-01,UAI 2,0.614222597540614
2021-05-01,UAI 3,0.6098160572285148
2021-05-01,UAI 4,0.29738372838752114
2021-05-01,UAI 5,
2021-06-01,UAI 1,0.5532250000000001
2021-06-01,UAI 2,0.5412581315580987
2021-06-01,UAI 3,0.578849669848657
2021-06-01,UAI 4,0.4405341148280398
2021-06-01,UAI 5,
2021-07-01,UAI 1,0.529825
2021-07-01,UAI 2,0.48055264229025607
2021-07-01,UAI 3,0.5478989510348933
2021-07-01,UAI 4,0.5011964809246381
2021-07-01,UAI 5,
2021-08-01,UAI 1,0.42210000000000003
2021-08-01,UAI 2,0.44510596868375507
2021-08-01,UAI 3,0.4876828293500918
2021-08-01,UAI 4,0.4847574492576583
2021-08-01,UAI 5,
2021-09-01,UAI 1,0.42712500000000003
2021-09-01,UAI 2,0.44065593158305816
2021-09-01,UAI 3,0.47055988813035016
2021-09-01,UAI 4,0.4703654834617552
2021-09-01,UAI 5,
2021-10-01,UAI 1,0.38943333333333335
2021-10-01,UAI 2,0.4629804812375474
2021-10-01,UAI 3,0.5124246783696434
2021-10-01,UAI 4,0.4694595705694417
2021-10-01,UAI 5,
2021-11-01,UAI 1,0.2634
2021-11-01,UAI 2,0.5381020626343764
2021-11-01,UAI 3,0.5933836882825002
2021-11-01,UAI 4,0.5461490438827289
2021-11-01,UAI 5,
2021-12-01,UAI 1,0.38872500000000004
2021-12-01,UAI 2,0.6205915509208026
2021-12-01,UAI 3,0.669634430620455
2021-12-01,UAI 4,0.6063967287633902
2021-12-01,UAI 5,
2022-01-01,UAI 1,0.262175
2022-01-01,UAI 2,0.6545294790017955
2022-01-01,UAI 3,0.680846849298038
2022-01-01,UAI 4,0.6591159333302011
2022-01-01,UAI 5,
2022-02-01,UAI 1,0.45587500000000003
2022-02-01,UAI 2,0.674732764484305
2022-02-01,UAI 3,0.6755103009727907
2022-02-01,UAI 4,0.4760283839973689
2022-02-01,UAI 5,
2022-03-01,UAI 1,0.565875
2022-03-01,UAI 2,0.7122634796655297
2022-03-01,UAI 3,0.6873066788460233
2022-03-01,UAI 4,0.409602972890434
2022-03-01,UAI 5,
2022-04-01,UAI 1,0.5954
2022-04-01,UAI 2,0.6826183605096305
2022-04-01,UAI 3,0.6859186385547354
2022-04-01,UAI 4,0.4695059371671989
2022-04-01,UAI 5,
2022-05-01,UAI 1,0.5524
2022-05-01,UAI 2,0.6348840269102967
2022-05-01,UAI 3,0.6600523335285616
2022-05-01,UAI 4,0.5220844906972375
2022-05-01,UAI 5,
2022-06-01,UAI 1,0.47237500000000004
2022-06-01,UAI 2,0.5642645046432594
2022-06-01,UAI 3,0.6120333114819736
2022-06-01,UAI 4,0.5556474147246759
2022-06-01,UAI 5,
2022-07-01,UAI 1,0.48055000000000003
2022-07-01,UAI 2,0.5039221289220951
2022-07-01,UAI 3,0.5695983568708319
2022-07-01,UAI 4,0.5374382399924827
2022-07-01,UAI 5,
2022-08-01,UAI 1,0.38020000000000004
2022-08-01,UAI 2,0.4383266652484436
2022-08-01,UAI 3,0.48425503662930414
2022-08-01,UAI 4,0.4759066235200153
2022-08-01,UAI 5,
2022-09-01,UAI 1,0.398525
2022-09-01,UAI 2,0.4190024365723655
2022-09-01,UAI 3,0.443213954180009
2022-09-01,UAI 4,0.42763718051118216
2022-09-01,UAI 5,
2022-10-01,UAI 1,0.3849666666666667
2022-10-01,UAI 2,0.4238655837876381
2022-10-01,UAI 3,0.4640639201245804
2022-10-01,UAI 4,0.41962476664787324
2022-10-01,UAI 5,
2022-11-01,UAI 1,0.67115
2022-11-01,UAI 2,0.5571235661865496
2022-11-01,UAI 3,0.6050308660638047
2022-11-01,UAI 4,0.5410098653918438
2022-11-01,UAI 5,
2022-12-01,UAI 1,0.5462750000000001
2022-12-01,UAI 2,0.670104943781662
2022-12-01,UAI 3,0.7061791919825012
2022-12-01,UAI 4,0.6863103845611728
2022-12-01,UAI 5,
2023-01-01,UAI 1,0.46640000000000004
2023-01-01,UAI 2,0.6882122473720332
2023-01-01,UAI 3,0.7205699635132673
2023-01-01,UAI 4,0.6670055205788384
2023-01-01,UAI 5,
2023-02-01,UAI 1,0.48047500000000004
2023-02-01,UAI 2,0.6602388991662741
2023-02-01,UAI 3,0.6717165750743965
2023-02-01,UAI 4,0.4723549544258598
2023-02-01,UAI 5,
2023-03-01,UAI 1,0.512875
2023-03-01,UAI 2,0.6683975284069925
2023-03-01,UAI 3,0.6463362816749674
2023-03-01,UAI 4,0.2702035836778803
2023-03-01,UAI 5,
2023-04-01,UAI 1,0.5167
2023-04-01,UAI 2,0.652736900698584
2023-04-01,UAI 3,0.6369612930758854
2023-04-01,UAI 4,0.24875605932468836
2023-04-01,UAI 5,
2023-05-01,UAI 1,0.5810000000000001
2023-05-01,UAI 2,0.6293298567689837
2023-05-01,UAI 3,0.6379424409500022
2023-05-01,UAI 4,0.40081015903965433
2023-05-01,UAI 5,
2023-06-01,UAI 1,0.4741
2023-06-01,UAI 2,0.5605958255000183
2023-06-01,UAI 3,0.6029120930029636
2023-06-01,UAI 4,0.5055477201183989
2023-06-01,UAI 5,
2023-07-01,UAI 1,0.45420000000000005
